I do not know how to license data and code;Key statement;Code ;Theme
I do not think this is necessary in my case. I share my code to people who need it.;Not sure if necessary;Need for licenses unclear;Knowledge gaps
Especially difficult when re-using code from other research;Licensing is an issue when reusing others' work;Difficult when reusing;Reuse
What kinds of data licences are possible. ;Which licenses can be used?;Overview of licenses missing;Knowledge gaps
I do not know how to license code ;Unclear how to license;Overview of licenses missing;Knowledge gaps
What I know I have learned from practice, but it is not sufifcient, and sometimes also confusing.;Not enough knowledge in licensing;Overview of licenses missing;Knowledge gaps
ITC has a license for Maptionnaire, but I could nit find it;-;-;-
