Other comments;Key statement;Code ;Theme
topics are familiar;;;
Involving citizens + GDPR;;;
none;;;
if basic knowledge is provide it is fine;;;
to ensure abuse as decribed above;;;
Assistance for finding/creating alternatives for copyrighted materials (e.g. help of graphic designers);;;
Nothing in particular;;;
currently none;;;
having an overview with information on the above tasks - that way I can figure it out myself or see where I would need help;;;
