I do not want to lose my competitive advantage;Key statement;Code ;Theme
I share my data after an embargo period;Use of embargo period for data;Embargo period;Embargo period
There is usually a little bit of this (old-fashioned) sentiment;Old-fashioned sentiment;Outdated attitide;Outdated attitide
especially for big database, which contain lots of information to explore;True for big data that is rich in information;True for big data;True for big data
