My materials may be misinterpreted ;Key statement;Code ;Theme
It requires a varety of persons who test my code/material to see whether it is interpreted well. ;Several persons needed to test whether interpretation is good;?;?
This is a major concern for the qualitative data that I am collecting. People who are not familiar with the context will not be able to interpret it well. ;People not familiar with context cannot interpret data;Context needed to interpret qualitative data;Context of qualitative data
Qualitative data can be misinterpreted with no knowledge about the context in which data was collected;Qualitative data can misinterpreted without knowing the context;Context needed to interpret qualitative data;Context of qualitative data
